method_name,regular_summary,bpe_summary,original_code,docstring,human_score
PersonDictionary.parsePattern,"This method processes two lists: a named entity recognition (NR) tag list (`nrList`) and a list of `Vertex` objects (`vertexList`) which represent the original untagged sequence. It matches patterns in person names using a series of NR cases (e.g., U and V), modifies the vertex list to accommodate these cases, and builds a pattern string. The method then uses an Aho-Corasick algorithm implementation (`trie`) to match these patterns against a trie structure. Upon a successful match, it verifies the name against some predefined conditions to filter out incorrect matches. If the name passes these checks, it inserts the recognized person name into a more refined graph (`wordNetOptimum`) at the appropriate offsets calculated from the vertex list, ensuring these references in `wordNetAll`. The method also considers edge cases, such as ensuring the last character of a surname is not the same as the first name characters, in order to avoid false positives.",Person name pattern matching and vertex list modification for optimized word net insertion.,"public static void parsePattern(List<NR> nrList, List<Vertex> vertexList, final WordNet wordNetOptimum, final WordNet wordNetAll)
    {
        // ���UV
        ListIterator<Vertex> listIterator = vertexList.listIterator();
        StringBuilder sbPattern = new StringBuilder(nrList.size());
        NR preNR = NR.A;
        boolean backUp = false;
        int index = 0;
        for (NR nr : nrList)
        {
            ++index;
            Vertex current = listIterator.next();
//            logger.trace(""{}/{}"", current.realWord, nr);
            switch (nr)
            {
                case U:
                    if (!backUp)
                    {
                        vertexList = new ArrayList<Vertex>(vertexList);
                        listIterator = vertexList.listIterator(index);
                        backUp = true;
                    }
                    sbPattern.append(NR.K.toString());
                    sbPattern.append(NR.B.toString());
                    preNR = B;
                    listIterator.previous();
                    String nowK = current.realWord.substring(0, current.realWord.length() - 1);
                    String nowB = current.realWord.substring(current.realWord.length() - 1);
                    listIterator.set(new Vertex(nowK));
                    listIterator.next();
                    listIterator.add(new Vertex(nowB));
                    continue;
                case V:
                    if (!backUp)
                    {
                        vertexList = new ArrayList<Vertex>(vertexList);
                        listIterator = vertexList.listIterator(index);
                        backUp = true;
                    }
                    if (preNR == B)
                    {
                        sbPattern.append(NR.E.toString());  //BE
                    }
                    else
                    {
                        sbPattern.append(NR.D.toString());  //CD
                    }
                    sbPattern.append(NR.L.toString());
                    // �Դ�Ҳ��һЩ�޸�
                    listIterator.previous();
                    String EorD = current.realWord.substring(0, 1);
                    String L = current.realWord.substring(1, current.realWord.length());
                    listIterator.set(new Vertex(EorD));
                    listIterator.next();
                    listIterator.add(new Vertex(L));
                    continue;
                default:
                    sbPattern.append(nr.toString());
                    break;
            }
            preNR = nr;
        }
        String pattern = sbPattern.toString();
//        logger.trace(""ģʽ����{}"", pattern);
//        logger.trace(""��Ӧ����{}"", vertexList);
//        if (pattern.length() != vertexList.size())
//        {
//            logger.warn(""����ʶ��ģʽ����bug"", pattern, vertexList);
//            return;
//        }
        final Vertex[] wordArray = vertexList.toArray(new Vertex[0]);
        final int[] offsetArray = new int[wordArray.length];
        offsetArray[0] = 0;
        for (int i = 1; i < wordArray.length; ++i)
        {
            offsetArray[i] = offsetArray[i - 1] + wordArray[i - 1].realWord.length();
        }
        trie.parseText(pattern, new AhoCorasickDoubleArrayTrie.IHit<NRPattern>()
        {
            @Override
            public void hit(int begin, int end, NRPattern value)
            {
//            logger.trace(""ƥ�䵽��{}"", keyword);
                StringBuilder sbName = new StringBuilder();
                for (int i = begin; i < end; ++i)
                {
                    sbName.append(wordArray[i].realWord);
                }
                String name = sbName.toString();
//            logger.trace(""ʶ�����{}"", name);
                // ��һЩbad case��������
                switch (value)
                {
                    case BCD:
                        if (name.charAt(0) == name.charAt(2)) return; // �պ����һ������������ȵ�
//                        String cd = name.substring(1);
//                        if (CoreDictionary.contains(cd))
//                        {
//                            EnumItem<NR> item = PersonDictionary.dictionary.get(cd);
//                            if (item == null || !item.containsLabel(Z)) return; // �������ֵ��Ǻ������ֲ��ڴʵ��У��кܴ��������������
//                        }
                        break;
                }
                if (isBadCase(name)) return;

                // ��ʽ������һ������
                if (HanLP.Config.DEBUG)
                {
                    System.out.printf(""ʶ���������%s %s\n"", name, value);
                }
                int offset = offsetArray[begin];
                wordNetOptimum.insert(offset, new Vertex(Predefine.TAG_PEOPLE, name, ATTRIBUTE, WORD_ID), wordNetAll);
            }
        });
    }","ģʽƥ��

@param nrList         ȷ���ı�ע����
@param vertexList     ԭʼ��δ�ӽ�ɫ��ע������
@param wordNetOptimum ���Ż���ͼ
@param wordNetAll     ȫ��ͼ",2
RestTemplateBuilder.setReadTimeout,�˷������û�����ClientHttpRequestFactory�ϵĶ�ȡ��ʱʱ�䡣������һ��Duration���͵Ĳ���readTimeout����ͨ��requestFactoryCustomizer���ö�ȡ��ʱʱ�䡣����һ���µ�RestTemplateBuilderʵ�������а������º�Ķ�ȡ��ʱ���á��÷�����Ҫ���ڴ���������RestTemplateʵ���Ĺ�������ȷ�����󳬹�ָ��ʱ��û����Ӧʱ�ᳬʱ��,���ö�ȡ��ʱ��RestTemplateBuilder���������ظ��º����ʵ����,"public RestTemplateBuilder setReadTimeout(Duration readTimeout) {
		return new RestTemplateBuilder(this.detectRequestFactory, this.rootUri,
				this.messageConverters, this.requestFactorySupplier,
				this.uriTemplateHandler, this.errorHandler, this.basicAuthentication,
				this.restTemplateCustomizers,
				this.requestFactoryCustomizer.readTimeout(readTimeout),
				this.interceptors);
	}","Sets the read timeout on the underlying {@link ClientHttpRequestFactory}.
@param readTimeout the read timeout
@return a new builder instance.
@since 2.1.0",2
LinearModel.score,�÷�����������������Ӧ�ĵ÷֡����ȣ���������������id��ɵ���������������ÿ������id������ֵΪ-1��������һ����������id�����Ϸ���Χ���׳��Ƿ������쳣��Ȼ�󣬶�����Ч������id���������ڲ��������е�������ͨ������id�͵�ǰ��ǩ����������ڲ����������ۼ���Ӧ��Ȩ�أ��Ӷ���õ÷֡�,�������������ļ�Ȩ�÷֣������Ƿ�������,"public double score(int[] featureVector, int currentTag)
    {
        double score = 0;
        for (int index : featureVector)
        {
            if (index == -1)
            {
                continue;
            }
            else if (index < -1 || index >= featureMap.size())
            {
                throw new IllegalArgumentException(""�ڴ��ʱ�����˷Ƿ����±�"");
            }
            else
            {
                index = index * featureMap.tagSet.size() + currentTag;
                score += parameter[index];    // ��ʵ��������Ȩ�ص��ۼ�
            }
        }
        return score;
    }","ͨ�����е�������������÷�

@param featureVector ѹ����ʽ������id���ɵ���������
@return",2
Cluster.set_composite_vector,"The method `set_composite_vector` clears the existing composite vector and iterates over all documents in the `documents_` collection, adding each document's feature vector to the composite vector. The purpose of this method is to aggregate feature vectors from all documents into a single composite vector.",Clear composite vector and add each document's feature vector.,"void set_composite_vector()
    {
        composite_.clear();
        for (Document<K> document : documents_)
        {
            composite_.add_vector(document.feature());
        }
    }",Add the vectors of all documents to a composite vector.,1
DoubleArrayTrie.load,�÷�����ָ��·���������ݣ���Ҫ���ṩһ��ֵ���顣�����ȼ���Ƿ���Ҫͨ���ļ�ͨ���������ݣ�����ʹ��ByteArrayStream�����ء���ִ�м��ز����󣬽������ֵ����洢���ڲ��ֶ�v�С�����true��ʾ���سɹ���false��ʾʧ�ܡ�,��·���������ݣ�����ֵ���鲢���ؼ��ؽ��,"public boolean load(String path, V[] value)
    {
        if (!(IOAdapter == null ? loadBaseAndCheckByFileChannel(path) :
        load(ByteArrayStream.createByteArrayStream(path), value)
        )) return false;
        v = value;
        return true;
    }","�Ӵ��̼��أ���Ҫ�����ṩֵ

@param path
@param value
@return",2
NettyRSocketServerFactory.addServerCustomizers,�÷�����������ServerRSocketFactoryCustomizerʵ������Щʵ�����ڹ���������ʱӦ�á���������ȷ���ṩ�Ĳ�����Ϊnull������������ӵ���ǰ��serverCustomizers�����С�,���Զ��������ӵ�serverCustomizers�����������ڷ���������,"public void addServerCustomizers(
			ServerRSocketFactoryCustomizer... serverCustomizers) {
		Assert.notNull(serverCustomizers, ""ServerCustomizer must not be null"");
		this.serverCustomizers.addAll(Arrays.asList(serverCustomizers));
	}","Add {@link ServerRSocketFactoryCustomizer}s that should applied while building the
server.
@param serverCustomizers the customizers to add",1
DependencyCustomizer.ifAnyMissingClasses,�÷�������һ��Ƕ�׵�DependencyCustomizerʵ������ʵ����ָ����������������һ��������·����ʱ�����á�����ʹ��loadClass���Լ��ش��ݵ����������������һ�����޷����أ��򷵻�true��ʹcanAdd��������true���Ӷ������Զ����߼���,�����������Ƿ��������·���ϣ������һȱʧ��Ӧ���Զ�����,"public DependencyCustomizer ifAnyMissingClasses(String... classNames) {
		return new DependencyCustomizer(this) {
			@Override
			protected boolean canAdd() {
				for (String className : classNames) {
					try {
						DependencyCustomizer.this.loader.loadClass(className);
					}
					catch (Exception ex) {
						return true;
					}
				}
				return false;
			}
		};
	}","Create a nested {@link DependencyCustomizer} that only applies if any of the
specified class names are not on the class path.
@param classNames the class names to test
@return a nested {@link DependencyCustomizer}",1
JSONArray.put,JSONArray.put ����������ָ������λ������ֵ�������Ŀ������λ���Ѿ���ֵ�������ֵ�����滻���������λ�ó�����ǰ�����С��������� null ����Դﵽ��Ӧ���ȡ�����ֵ���������͵ĳ���������֤���Ƿ�Ϊ�Ϸ���Double�������������ܻ��׳� JSONException �쳣��,���ض�����λ�����û��滻JSONArray��ֵ����������������֤��,"public JSONArray put(int index, Object value) throws JSONException {
		if (value instanceof Number) {
			// deviate from the original by checking all Numbers, not just floats &
			// doubles
			JSON.checkDouble(((Number) value).doubleValue());
		}
		while (this.values.size() <= index) {
			this.values.add(null);
		}
		this.values.set(index, value);
		return this;
	}","Sets the value at {@code index} to {@code value}, null padding this array to the
required length if necessary. If a value already exists at {@code
index}, it will be replaced.
@param index the index to set the value to
@param value a {@link JSONObject}, {@link JSONArray}, String, Boolean, Integer,
Long, Double, {@link JSONObject#NULL}, or {@code null}. May not be
{@link Double#isNaN() NaNs} or {@link Double#isInfinite() infinities}.
@return this array.
@throws JSONException if processing of json failed",2
RedisConnectionConfiguration.getClusterConfiguration,�÷������ڻ�ȡ�򴴽�Redis��Ⱥ���á����Ѵ�����ֱ�ӷ��أ�������������ļ������µļ�Ⱥ���á������clusterConfiguration��Ա��������Ϊ�����properties�л�ȡ��Ⱥ���Բ�����RedisClusterConfigurationʵ�����������ýڵ������ض������Լ����롣��properties�м�Ⱥ������Ϣȱʧ���򷵻�null��,��ȡ�򴴽�Redis��Ⱥ���ã����������򷵻�null��,"protected final RedisClusterConfiguration getClusterConfiguration() {
		if (this.clusterConfiguration != null) {
			return this.clusterConfiguration;
		}
		if (this.properties.getCluster() == null) {
			return null;
		}
		RedisProperties.Cluster clusterProperties = this.properties.getCluster();
		RedisClusterConfiguration config = new RedisClusterConfiguration(
				clusterProperties.getNodes());
		if (clusterProperties.getMaxRedirects() != null) {
			config.setMaxRedirects(clusterProperties.getMaxRedirects());
		}
		if (this.properties.getPassword() != null) {
			config.setPassword(RedisPassword.of(this.properties.getPassword()));
		}
		return config;
	}","Create a {@link RedisClusterConfiguration} if necessary.
@return {@literal null} if no cluster settings are set.",2
PoolingConnectionFactoryBean.setConnectionFactory,�÷�������XAConnectionFactory��ʵ������ʹ��setClassName���������������connectionFactory�����������connectionFactory�ֶΣ�ͬʱֱ����������ΪDirectXAConnectionFactory������ʼ����������Ϊһ���µ�Propertiesʵ����,ΪPoolingConnectionFactoryBean����XA���ӹ���ʵ����,"public void setConnectionFactory(XAConnectionFactory connectionFactory) {
		this.connectionFactory = connectionFactory;
		setClassName(DirectXAConnectionFactory.class.getName());
		setDriverProperties(new Properties());
	}","Set the {@link XAConnectionFactory} directly, instead of calling
{@link #setClassName(String)}.
@param connectionFactory the connection factory to use",2
